AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2025;01;09;14;0;0.000150644067;0.000167848674;0.000149409392;;
2025;01;09;15;0;0.000155027755;0.000147669818;0.000146565310;;
2025;01;09;16;0;0.000148137720;0.000138880780;0.000157855713;;
2025;01;09;17;0;0.000142183079;0.000138076049;0.000153923825;;
2025;01;09;18;0;0.000146502441;0.000142144774;0.000166325116;;
2025;01;09;19;0;0.000165612537;0.000155469487;0.000170357467;;
2025;01;09;20;0;0.000184552900;0.000151694255;0.000176904317;;
2025;01;09;21;0;0.000200742995;0.000138691992;0.000165738888;;
2025;01;09;22;0;0.000201766634;0.000121444976;0.000130521004;;
2025;01;09;23;0;0.000178727332;0.000105464735;0.000104272590;;
2025;01;09;24;0;0.000146267095;0.000093058939;0.000075442439;;
2025;01;10;1;0;0.000120950496;0.000085976762;0.000059515145;;
2025;01;10;2;0;0.000100294081;0.000081803494;0.000044844799;;
2025;01;10;3;0;0.000088471457;0.000079671478;0.000037796150;;
2025;01;10;4;0;0.000082905820;0.000079083129;0.000031595178;;
2025;01;10;5;0;0.000080761536;0.000079382221;0.000033643149;;
2025;01;10;6;0;0.000083494780;0.000083126301;0.000028284436;;
2025;01;10;7;0;0.000095650301;0.000097561525;0.000031253935;;
2025;01;10;8;0;0.000121996713;0.000128924086;0.000049263169;;
2025;01;10;9;0;0.000135010675;0.000160153005;0.000093625080;;
2025;01;10;10;0;0.000140538624;0.000176469453;0.000128070698;;
2025;01;10;11;0;0.000145829331;0.000183502511;0.000164953895;;
2025;01;10;12;0;0.000144217626;0.000181136592;0.000168755602;;
2025;01;10;13;0;0.000144620428;0.000177870035;0.000186677966;;
2025;01;10;14;0;0.000152205099;0.000167363177;0.000175739636;;
2025;01;10;15;0;0.000156714293;0.000144297240;0.000169694315;;
2025;01;10;16;0;0.000150925222;0.000131461015;0.000180778871;;
2025;01;10;17;0;0.000145422543;0.000128390058;0.000177268801;;
2025;01;10;18;0;0.000148466860;0.000131913596;0.000171364058;;
2025;01;10;19;0;0.000164470856;0.000147844462;0.000182495002;;
